Linux 5.19.0-rc5-xfstests-perf-00986-g953948f2acf6-dirty (harshads-do-not-delete-3) 	12/19/23 	_x86_64_	(32 CPU)


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.75    0.00    8.44    7.65    0.00   83.16

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          1.00      3.99     0.00   0.00    0.20     4.00 19085.43 141702.99    20.96   0.11    0.12     7.42    0.00      0.00     0.00   0.00    0.00     0.00  810.18    0.03    2.32  75.85
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 3063.27 253911.38 60414.57  95.17    0.15    82.89    0.00      0.00     0.00   0.00    0.00     0.00 1531.14    0.03    0.49  75.51
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda             16.37    505.39    40.12  71.02    7.13    30.88    0.80     12.77     2.59  76.47    4.75    16.00    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.12   4.85


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.93    0.00   11.08   11.03    0.00   76.96

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 25557.52 186900.20    25.45   0.10    0.12     7.31    0.00      0.00     0.00   0.00    0.00     0.00 1113.23    0.03    3.22  99.92
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 4120.04 342424.05 81485.97  95.19    0.15    83.11    0.00      0.00     0.00   0.00    0.00     0.00 2059.32    0.03    0.66  99.94
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda             16.63    523.45    57.31  77.51    9.57    31.47   37.47   8552.30     1.40   3.61   60.67   228.21    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.43   8.42


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.91    0.00   10.70   11.13    0.00   77.26

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 25367.00 186090.40    30.20   0.12    0.13     7.34    0.00      0.00     0.00   0.00    0.00     0.00 1108.60    0.03    3.28 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 4098.00 340628.80 81067.20  95.19    0.15    83.12    0.00      0.00     0.00   0.00    0.00     0.00 2048.20    0.02    0.65 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              5.40     57.60     6.00  52.63    4.52    10.67    0.40      7.20     0.80  66.67    6.50    18.00    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.03   1.88


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.96    0.00   11.56    9.61    0.00   77.88

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 24888.00 182821.60    34.80   0.14    0.13     7.35    0.00      0.00     0.00   0.00    0.00     0.00 1055.00    0.03    3.17 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 3942.00 327588.00 77947.00  95.19    0.15    83.10    0.00      0.00     0.00   0.00    0.00     0.00 1970.20    0.03    0.64 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.40      1.60     0.00   0.00   10.00     4.00    0.40      4.80     0.80  66.67   26.00    12.00    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.01   1.60


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.01    0.00   11.16   10.66    0.00   77.17

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 25088.60 184301.60    28.20   0.11    0.12     7.35    0.00      0.00     0.00   0.00    0.00     0.00 1041.00    0.04    3.10 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 4019.80 335165.60 79771.60  95.20    0.15    83.38    0.00      0.00     0.00   0.00    0.00     0.00 2009.20    0.03    0.65 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.00      0.00     0.00   0.00    0.00     0.00    0.40      4.80     0.80  66.67   32.50    12.00    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.01   1.40


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.93    0.00   10.85    9.66    0.00   78.56

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 24644.00 180935.20    26.20   0.11    0.12     7.34    0.00      0.00     0.00   0.00    0.00     0.00  992.80    0.03    3.03 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 3866.80 324131.20 77174.00  95.23    0.16    83.82    0.00      0.00     0.00   0.00    0.00     0.00 1932.60    0.03    0.66 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.00      0.00     0.00   0.00    0.00     0.00    2.00    105.60     0.80  28.57   24.10    52.80    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.05   1.80


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.99    0.00   11.55    9.70    0.00   77.76

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 24838.20 182207.20    25.00   0.10    0.12     7.34    0.00      0.00     0.00   0.00    0.00     0.00 1036.20    0.03    3.04 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 3909.80 327298.40 77917.40  95.22    0.15    83.71    0.00      0.00     0.00   0.00    0.00     0.00 1954.20    0.03    0.66 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.00      0.00     0.00   0.00    0.00     0.00   17.20    169.60     1.20   6.52    5.98     9.86    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.10   1.20


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.10    0.00   10.91    9.39    0.00   78.61

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 24485.80 180076.00    33.80   0.14    0.12     7.35    0.00      0.00     0.00   0.00    0.00     0.00 1017.40    0.04    3.06 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 3808.40 319354.40 76019.60  95.23    0.15    83.86    0.00      0.00     0.00   0.00    0.00     0.00 1903.40    0.03    0.65 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.00      0.00     0.00   0.00    0.00     0.00    4.40    119.20     1.40  24.14    8.09    27.09    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.04   1.12


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.94    0.00   11.35    9.94    0.00   77.78

