Linux 5.10.0-26-cloud-amd64 (harshads-do-not-delete-m1) 	12/23/23 	_x86_64_	(32 CPU)


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.01    0.00    1.03    1.79    0.00   97.17

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
sda              6.60    176.80    17.40  72.50    7.85    26.79    0.00      0.00     2.00 100.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.05   2.96
sdb              0.40      1.60     0.00   0.00    5.50     4.00 1170.40  33092.00   987.40  45.76    9.39    28.27    0.00      0.00     0.00   0.00    0.00     0.00  987.60    0.05   11.04  73.52


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.00    0.00    0.49    2.39    0.00   97.11

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
sda              1.40     25.60     5.00  78.12   28.43    18.29    0.40      9.60     0.80  66.67    1.00    24.00    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.04   2.00
sdb              0.00      0.00     0.00   0.00    0.00     0.00 1726.80  14042.40  1576.60  47.73    0.46     8.13    0.00      0.00     0.00   0.00    0.00     0.00 1599.60    0.05    0.87 100.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.00    0.00    0.51    2.34    0.00   97.15

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
sda              0.00      0.00     0.00   0.00    0.00     0.00    0.40      4.80     0.20  33.33   10.00    12.00    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.00   0.48
sdb              0.00      0.00     0.00   0.00    0.00     0.00 1744.40  13656.00  1597.80  47.81    0.45     7.83    0.00      0.00     0.00   0.00    0.00     0.00 1616.40    0.04    0.86 100.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.01    0.00    0.49    2.50    0.00   97.00

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
sda             22.00    496.00    45.60  67.46    7.16    22.55    0.40      2.40     1.00  71.43    0.50     6.00    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.16   5.60
sdb              0.00      0.00     0.00   0.00    0.00     0.00 1768.40  13648.80  1624.00  47.87    0.44     7.72    0.00      0.00     0.00   0.00    0.00     0.00 1638.20    0.04    0.86 100.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.01    0.00    0.49    2.35    0.00   97.15

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
sda              0.00      0.00     0.00   0.00    0.00     0.00    0.40      5.60     0.20  33.33    9.00    14.00    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.00   0.40
sdb              0.00      0.00     0.00   0.00    0.00     0.00 1807.80  13911.20  1659.80  47.87    0.44     7.70    0.00      0.00     0.00   0.00    0.00     0.00 1673.80    0.04    0.86 100.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
