Linux 5.19.0-rc5-xfstests-perf-00986-g953948f2acf6-dirty (harshads-do-not-delete-3) 	12/19/23 	_x86_64_	(32 CPU)


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.37    0.00   19.37   11.99    0.00   67.27

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1         11.80     51.20     1.00   7.81    0.12     4.34 25722.40 191944.00    36.40   0.14    0.15     7.46    0.00      0.00     0.00   0.00    0.00     0.00  875.60    0.03    3.83  75.20
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 1775.20 242677.60 58894.00  97.07    0.20   136.70    0.00      0.00     0.00   0.00    0.00     0.00  887.20    0.03    0.38  74.54
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda             16.80    528.00    46.00  73.25    7.36    31.43    0.00      0.00     2.00 100.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.12   5.14


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.66    0.00   24.05   15.94    0.00   58.34

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 34729.80 257586.40    54.00   0.16    0.14     7.42    0.00      0.00     0.00   0.00    0.00     0.00 1167.60    0.03    4.91 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 2417.40 329760.00 80022.80  97.07    0.20   136.41    0.00      0.00     0.00   0.00    0.00     0.00 1208.00    0.03    0.52 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.00      0.00     0.00   0.00    0.00     0.00   38.80   8775.20     1.80   4.43   60.28   226.16    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    2.34   4.12


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.89    0.00   24.85   15.38    0.00   57.87

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 34527.60 255519.20    51.40   0.15    0.14     7.40    0.00      0.00     0.00   0.00    0.00     0.00 1173.40    0.03    4.77 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 2485.60 331942.40 80507.80  97.01    0.19   133.55    0.00      0.00     0.00   0.00    0.00     0.00 1242.00    0.03    0.52 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda             21.60    517.60    57.60  72.73    9.44    23.96    0.40      6.40     0.60  60.00    4.00    16.00    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.21   9.40


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.64    0.00   24.75   15.33    0.00   58.29

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 34579.80 256059.20    49.40   0.14    0.13     7.40    0.00      0.00     0.00   0.00    0.00     0.00 1141.20    0.03    4.70 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 2453.60 329044.00 79799.60  97.02    0.20   134.11    0.00      0.00     0.00   0.00    0.00     0.00 1226.00    0.03    0.52 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.00      0.00     0.00   0.00    0.00     0.00    0.40      4.00     0.60  60.00   22.00    10.00    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.01   0.94


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.68    0.00   24.38   15.69    0.00   58.25

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 34655.20 256236.80    50.80   0.15    0.14     7.39    0.00      0.00     0.00   0.00    0.00     0.00 1195.60    0.03    4.89 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 2476.60 332804.80 80724.60  97.02    0.20   134.38    0.00      0.00     0.00   0.00    0.00     0.00 1237.60    0.03    0.52 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.00      0.00     0.00   0.00    0.00     0.00    0.40      4.00     0.20  33.33   23.00    10.00    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.01   1.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.64    0.00   23.51   16.20    0.00   58.65

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 34612.00 255482.40    49.00   0.14    0.15     7.38    0.00      0.00     0.00   0.00    0.00     0.00 1260.60    0.03    5.07 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 2484.60 333296.80 80839.60  97.02    0.19   134.15    0.00      0.00     0.00   0.00    0.00     0.00 1241.40    0.03    0.52 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.00      0.00     0.00   0.00    0.00     0.00    2.80    332.80     0.60  17.65   14.93   118.86    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.50    0.04   2.34


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.61    0.00   24.64   15.47    0.00   58.27

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 34558.80 255978.40    43.40   0.13    0.14     7.41    0.00      0.00     0.00   0.00    0.00     0.00 1158.60    0.03    4.79 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 2444.20 330270.40 80123.40  97.04    0.20   135.12    0.00      0.00     0.00   0.00    0.00     0.00 1221.40    0.03    0.52 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.00      0.00     0.00   0.00    0.00     0.00   15.80    389.60     1.00   5.95    5.42    24.66    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.09   1.40


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.82    0.00   25.19   15.45    0.00   57.55

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 34564.20 255641.60    44.60   0.13    0.14     7.40    0.00      0.00     0.00   0.00    0.00     0.00 1199.60    0.03    4.84 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 2481.20 332710.40 80696.20  97.02    0.19   134.09    0.00      0.00     0.00   0.00    0.00     0.00 1239.80    0.03    0.52 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda             29.00   2487.20     6.00  17.14    2.00    85.77    3.00    335.20     1.60  34.78    9.20   111.73    0.00      0.00     0.00   0.00    0.00     0.00    0.60    0.00    0.09   4.86


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.89    0.00   24.67   15.43    0.00   58.02

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 34549.20 256328.00    39.80   0.12    0.14     7.42    0.00      0.00     0.00   0.00    0.00     0.00 1136.00    0.03    4.74 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 2433.80 329000.80 79816.60  97.04    0.20   135.18    0.00      0.00     0.00   0.00    0.00     0.00 1216.20    0.03    0.52 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.00      0.00     0.00   0.00    0.00     0.00    2.80    338.40     0.20   6.67    8.50   120.86    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.02   0.66


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.87    0.00   23.93   15.62    0.00   58.58

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 34568.80 256004.00    40.40   0.12    0.14     7.41    0.00      0.00     0.00   0.00    0.00     0.00 1136.80    0.03    4.79 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 2466.00 329806.40 79996.20  97.01    0.20   133.74    0.00      0.00     0.00   0.00    0.00     0.00 1232.20    0.03    0.52 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.00      0.00     0.00   0.00    0.00     0.00    3.20    334.40     0.80  20.00    4.25   104.50    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.01   0.60


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.70    0.00   24.41   16.17    0.00   57.72

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 34691.20 256580.00    50.80   0.15    0.15     7.40    0.00      0.00     0.00   0.00    0.00     0.00 1217.60    0.03    5.10 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 2446.00 330673.60 80222.20  97.04    0.20   135.19    0.00      0.00     0.00   0.00    0.00     0.00 1222.20    0.03    0.52 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.00      0.00     0.00   0.00    0.00     0.00    2.80    335.20     1.20  30.00   12.21   119.71    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.03   0.74


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.65    0.00   23.31   15.84    0.00   59.20

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
nvme0n1          0.00      0.00     0.00   0.00    0.00     0.00 34557.00 255831.20    48.00   0.14    0.14     7.40    0.00      0.00     0.00   0.00    0.00     0.00 1222.20    0.03    4.86 100.00
nvme0n2          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
nvme0n3          0.00      0.00     0.00   0.00    0.00     0.00 2515.80 334500.00 81112.20  96.99    0.19   132.96    0.00      0.00     0.00   0.00    0.00     0.00 1257.20    0.03    0.53 100.00
nvme0n4          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.00      0.00     0.00   0.00    0.00     0.00    2.60    336.00     0.80  23.53   11.54   129.23    0.00      0.00     0.00   0.00    0.00     0.00    0.40    0.00    0.03   0.80


